"jp_text","kr_text"
山上に楼閣がそびえ、雲の上の城のようだった。,산 위에 누각이 우뚝 서서 구름 위의 성 같았다.
夕方、鐘楼の鐘が鳴って、街に音が広がった。,저녁에 종루의 종이 울려 도시로 소리가 퍼졌다.
庭の中央に築山を作り、周りに石を配した。,정원 한가운데에 인공 언덕을 만들고 주위에 돌을 배치했다.
芝生に寝転んで、雲の形を当てっこした。,잔디에 드러누워 구름 모양을 맞히며 놀았다.
午後から雷雨になる予報だから、傘を持って行こう。,오후부터 뇌우 예보라서 우산을 가져가자.
渡航前に赤痢の検査結果を提出するよう言われた。,출국 전에 이질 검사 결과를 제출하라고 들었다.
駅までの道を話しながら歩くと、距離が短く感じた。,역까지 이야기하며 걸으니 거리가 짧게 느껴졌다.
改札前で立ち話をしていたら、電車を一本逃した。,개찰구 앞에서 서서 수다 떨다 전철을 한 대 놓쳤다.
追加料金はかかりませんが、深夜は受付が閉まります。,추가 요금은 없지만 심야에는 접수가 닫힙니다.
寺で僧侶が静かに読経していた。,절에서 승려가 조용히 독경하고 있었다.
私の英語は挨拶が関の山だ。,내 영어는 인사 정도가 한계다.
隅々まで掃除が行き届いていて、とても気持ちの良いホテルだ。,"구석구석까지 청소가 잘 되어 있어서, 매우 기분 좋은 호텔이다."
川辺で納涼の灯籠が揺れ、夜風が心地よかった。,강가에서 납량(더위 식히기) 등롱이 흔들리고 밤바람이 기분 좋았다.
春の息吹が庭に満ちて、梅がほころび始めた。,봄기운이 정원에 가득 차 매화가 피기 시작했다.
浜辺で貝殻を拾い集め、瓶に入れて旅の記念にした。,해변에서 조개껍데기를 주워 모아 병에 담아 여행 기념으로 삼았다.
今日は天気が良いから、川沿いを歩こう。,오늘 날씨가 좋아서 강변을 걸어가자.
山の湧き水は清澄で、手を入れると冷たかった。,산의 샘물은 맑고 투명해서 손을 넣으면 차가웠다.
考古館で穴居の模型を見た。,고고학관에서 동굴/움집(혈거) 모형을 봤다.
郷に入っては郷に従えというように、その土地のルールを守るべきだ。,"로마에 가면 로마법을 따르라는 말처럼(향에 들어가면 향을 따르라), 그 토지의 규칙을 지켜야 한다."
時々、無性に海が見たくなり、当てもなく電車に乗ることがある。,"가끔, 몹시 바다가 보고 싶어져서, 정처 없이 전차를 타는 일이 있다."
終わり良ければ全て良し、トラブルはあったが最高の旅行だった。,"끝이 좋으면 다 좋다, 트러블은 있었지만 최고의 여행이었다."
世界中を旅して、異文化に触れることが私の長年の夢だ。,"전 세계를 여행하며, 이문화를 접하는 것이 나의 오랜 꿈이다."
旅館の部屋係が、夕食の配膳と布団の用意をしてくれた。,여관의 객실 담당자가 저녁 식사 배선과 이부자리를 준비해 주었다.
水平線に沈む夕日は、何度見ても飽きない美しさだ。,"수평선으로 지는 석양은, 몇 번을 봐도 질리지 않는 아름다움이다."
地球の反対側にあるブラジルと日本とでは、昼夜が逆転している。,"지구 반대편에 있는 브라질과 일본은, 주야가 역전되어 있다."
巨大な吊り橋が海峡を跨ぎ、二つの島を一本の道で繋いでいる。,"거대한 현수교가 해협을 가로질러, 두 섬을 하나의 길로 잇고 있다."
渓谷に架かる吊り橋を渡る時、足がすくんでしまった。,계곡에 걸린 구름다리를 건널 때 발이 떨려 버렸다.
湖の水面に映る名月は、言葉を失うほど幻想的な美しさだった。,"호수 수면에 비치는 명월(보름달)은, 말을 잃을 정도로 환상적인 아름다움이었다."
サバンナで群れを成して歩く巨象の姿は圧巻だった。,사바나에서 무리를 지어 걷는 거대한 코끼리의 모습은 압권이었다.
空港の手違いで荷物がロストしてしまい、旅行の初日からトラブルに見舞われた。,공항의 실수로 짐이 분실되어 여행 첫날부터 문제에 부닥쳤다.
急ぐ旅ではないので、各駅停車の電車に乗ってのんびりと景色を眺める。,서두르는 여행이 아니므로 각역 정차 전차를 타고 느긋하게 경치를 바라본다.
スペイン旅行中、「カサ・ミラ」という有名な建築物を見学した。,"스페인 여행 중, '카사 밀라'라고 하는 유명한 건축물을 견학했다."
登山の時は、地図とコンパスを持って方角を確認する。,등산을 할 때는 지도와 나침반을 가지고 방향을 확인한다.
初めて来た土地で道に迷ってしまったが、親切な人が案内してくれた。,"처음 온 땅에서 길을 잃어버렸지만, 친절한 사람이 안내해 주었다."
京都の三十三間堂には、千体もの千手観音像が安置されている。,교토의 산주산겐도에는 천 구나 되는 천수관음상이 안치되어 있다.
加賀友禅の繊細な絵柄は、職人の高度な技術と美意識の結晶だ。,카가 유젠의 섬세한 무늬는 장인의 고도 기술과 미의식의 결정체다.
朝日を浴びて、雪山が神々しい光輝を放っている。,아침 햇살을 받아 설산이 신비로운 광휘를 발하고 있다.
庭の池には色鮮やかな錦鯉が泳いでおり、観光客を楽しませる。,정원의 연못에는 색이 선명한 비단잉어가 헤엄치고 있어 관광객을 즐겁게 한다.
旅先で出会った人々との別れは名残惜しいが、思い出を胸に出発する。,"여행지에서 만난 사람들과의 이별은 아쉽지만, 추억을 가슴에 품고 출발한다."
沖縄の食堂で食べたゴーヤチャンプルーは、苦味が癖になる味だった。,오키나와 식당에서 먹은 고야 참푸르는 쓴맛이 중독되는 맛이었다.
春休みに家族で苺狩りに行き、甘い苺をお腹いっぱい食べた。,봄방학에 가족과 딸기 따기 체험을 가서 달콤한 딸기를 배불리 먹었다.
旅の途中で日が暮れたので、街道沿いの古い宿に泊まることにした。,"여행 도중에 해가 저물어서, 길가에 있는 오래된 숙소에 묵기로 했다."
地図にも載っていないどこかの無人島へ漂着する,지도에도 실려 있지 않은 어딘가의 무인도로 표류하다
大航海時代に船乗りたちは海の果てを目指した,대항해시대에 선원들은 바다의 끝을 목표로 했다
おお、地平線から太陽が昇る瞬間が見える。,"오, 지평선에서 태양이 떠오르는 순간이 보인다."
雪深い道を一歩ずつ踏みしめながら家路を急ぐ。,눈 깊은 길을 한 걸음씩 내디디며 귀가 길을 서두른다.
スイドウバシ駅の近くには、大きな遊園地とドームがある。,스이도바시역 근처에는 큰 놀이공원과 돔이 있다.
飛行機のエンジン音が、耳元でキーンと響いた。,비행기 엔진 소리가 귓가에서 윙(키-잉)하고 울렸다.
庭の片隅に置かれた石の表面に苔が生える。,마당 한구석에 놓인 돌 표면에 이끼가 자란다.
京都の老舗で贅沢な懐石料理を堪能する。,교토의 노포에서 사치스러운 가이세키 요리를 즐긴다.
明の時代に築かれた長城の一部が、今も残っている。,명나라 시대에 축조된 만리장성의 일부가 지금도 남아 있다.
図書館で映画の年鑑を開いて、過去の受賞作品を調べた。,도서관에서 영화 연감을 펼쳐 과거 수상작을 찾아봤다.
この絵は遠近の表現が巧みで、手前の人物が今にも飛び出してきそうだ。,이 그림은 원근 표현이 뛰어나서 앞쪽 인물이 당장이라도 튀어나올 것 같다.
博物館では、この絵画を永久保存するための修復作業が行われている。,박물관에서는 이 그림을 영구 보존하기 위한 복원 작업이 진행 중이다.
高校の文化祭で、演劇部の公演が大好評だった。,고등학교 문화제에서 연극부 공연이 큰 호평을 받았다.
美術館で素描の習作を見た。,미술관에서 소묘 습작을 봤다.
点描で空のグラデーションを表現した。,점묘로 하늘의 그라데이션을 표현했다.
彼は国を治める立場として責任を負う。,그는 나라를 다스리는 입장으로서 책임을 진다.
凡百の作品とは一線を画す、素晴らしい傑作だ。,평범한 수많은 작품과는 획을 긋는 훌륭한 걸작이다.
プロとアマチュアの間には、技術力において雲泥の差がある。,"프로와 아마추어 사이에는, 기술력에 있어서 운니지차(구름과 진흙 차이/천지 차이)가 있다."
職人がまな板の上で、新鮮な魚を見事に捌いていく。,장인이 도마 위에서 신선한 생선을 멋지게 손질해 나간다.
職人が一本の丸太から、美しい仏像を削り出していく。,장인이 한 그루의 통나무에서 아름다운 불상을 깎아내고 있다.
彼は商売っ気が全くなく、ただ良いものを作ることだけに集中している。,"그는 장사꾼 기질이 전혀 없고, 그저 좋은 물건을 만드는 데에만 집중하고 있다."
彼は優れた審美眼を持っており、名画の真価を見抜いた。,그는 뛰어난 심미안을 가지고 있어 명화의 진정한 가치를 알아봤다.
苔むした石灯籠が庭の風雅な雰囲気を引き立てている。,이끼 낀 석등이 정원의 풍아한 분위기를 돋보이게 한다.
日本の伝統的な藍染めの布は、使い込むほどに味わい深い色になる。,일본의 전통적인 쪽빛 염색 천은 오래 쓸수록 깊은 맛이 나는 색이 된다.
年賀状のデザインを決めるために、来年の干支が何かを調べる。,"연하장 디자인을 결정하기 위해, 내년 간지(띠)가 무엇인지 조사한다."
彼女の描く風景画は、独特な色遣いで見る人を惹きつける。,그녀가 그리는 풍경화는 독특한 색채 사용으로 보는 이를 매료시킨다.
この絵画は一見の価値があるほど繊細だ。,이 그림은 한 번 볼 가치가 있을 정도로 섬세하다.
精神を鍛えるために、古武術の型を学ぶ。,정신을 수양하기 위해 고무술의 품새를 배운다.
ページをめくるたびに、物語の世界にどんどん引き込まれていく。,페이지를 넘길 때마다 이야기 속으로 점점 빨려 들어간다.
俳句の世界では不易流行という考え方が重んじられる。,하이쿠 세계에서는 불역유행이라는 사고방식이 중시된다.
この小説は、実際の歴史的事件に依拠して書かれている。,이 소설은 실제 역사적 사건에 의거하여 쓰여 있다.
惑星は太陽の周りを、完全な円ではなく楕円軌道で回る。,행성은 태양 주위를 완전한 원이 아니라 타원 궤도로 돈다.
暗黒エネルギーは、宇宙全体のエネルギー密度の大部分を占め、加速膨張を引き起こしているとされる。,암흑 에너지는 우주 전체 에너지 밀도의 대부분을 차지하며 가속 팽창을 일으키고 있다고 여겨진다.
どんな壁があっても、僕はもっと強くなる。,"어떤 벽이 있더라도, 나는 더 강해질 거야."
ニュートリノは物質をほとんど透過するため、観測には巨大な地下検出器が必要となる。,중성미자는 물질을 거의 투과하기 때문에 관측에는 거대 지하 검출기가 필요하다.
彼は自分の才能にうぬぼれて、他人の忠告に耳を貸さなかった。,그는 자신의 재능에 자만하여 다른 사람의 충고에 귀를 기울이지 않았다.
彼は、自分を裏切った友人を汚い言葉で罵った。,그는 자신을 배신한 친구를 심한 말로 욕했다.
深夜に帰宅した息子を、父親は厳しい口調で咎めた。,심야에 귀가한 아들을 아버지는 엄한 어조로 책망했다.
明日になれば、全てが終わるんだな…。,내일이 되면 모든 게 끝나는구나….
その気鋭の作家は、次々と話題作を発表している。,"그 기예의(패기만만한) 작가는, 잇따라 화제작을 발표하고 있다."
ドゥルーズとガタリは、階層的な「樹木」モデルに対抗して、網状の「リゾーム」概念を提唱した。,들뢰즈와 가타리는 계층적인 '수목' 모델에 대항하여 망(網) 형태의 '리좀' 개념을 제창했다.
裁判長によって厳しい判決が下されると、法廷は静まり返った。,재판장에 의해 엄한 판결이 내려지자 법정은 쥐 죽은 듯 조용해졌다.
読まれたくない手紙を細かく破いて捨てた。,남이 읽지 않았으면 하는 편지를 잘게 찢어서 버렸다.
それは誰もが知っている公然の秘密だ。,그것은 누구나 알고 있는 공연한 비밀이다.
ペプチド結合の加水分解により、タンパク質はアミノ酸に分解される。,펩타이드 결합의 가수분해로 인해 단백질은 아미노산으로 분해된다.
その作家は旅先で急病に倒れ、異郷の小さな病院で客死を遂げた。,그 작가는 여행지에서 급병으로 쓰러져 타지의 작은 병원에서 객사했다.
能の舞台で、鼓を打つ音だけが静かな能楽堂に響いた。,노 공연 무대에서 북을 두드리는 소리만이 고요한 극장 안에 울려 퍼졌다.
この映画は人気俳優が主演している。,이 영화는 인기 배우가 주연을 맡고 있다.
何も聞こえない。静かすぎて、自分の心臓の音だけが響く。,"아무것도 들리지 않아. 너무 조용해서, 내 심장 소리만 울려 퍼져."
どんな逆境にあっても、彼の信念が揺るぐことはなかった。,어떤 역경에 처해도 그의 신념이 흔들리는 일은 없었다.
みんなの期待にこたえるため、プレッシャーを乗り越えて声を上げた。,"모두의 기대에 부응하기 위해, 압박감을 이겨내고 목소리를 높였다."
最後まで諦めない姿勢が、奇跡を呼び込みました。,"마지막까지 포기하지 않는 자세가, 기적을 불러들였습니다."
彼は守備のポジション取りがうまい。,그는 수비 포지션 잡는 것이 뛰어나다.
もう、あなたの冷たい言葉は聞きたくない。,"이제, 당신의 차가운 말은 듣고 싶지 않아."
汝の心の声に従い、迷わずその道を進むが良い。,그대의 마음의 소리에 따라 망설이지 말고 그 길을 가거라.
彼は帰り道に小声で謡うように、昔の旋律を口ずさんだ。,그는 돌아가는 길에 작은 목소리로 흥얼거리듯 옛 멜로디를 따라 불렀다.
川柳を一句ひねって、場を和ませた。,센류 한 수를 즉흥으로 지어 분위기를 누그러뜨렸다.
心拍の律動に合わせて、ダンサーが一歩ずつ踏み出した。,심장의 율동에 맞춰 댄서가 한 걸음씩 내디뎠다.
文化祭の合唱は緊張したけど、最後はみんなの声が一つになった。,"축제 합창은 긴장했지만, 마지막엔 모두의 목소리가 하나가 됐다."
古い劇場で浄瑠璃を聴き、声の艶に圧倒された。,오래된 극장에서 조루리를 듣고 목소리의 윤기에 압도됐다.
里帰りすると、地域独特の民謡が今も歌い継がれている。,고향에 내려가면 지역 특유의 민요가 아직도 불리고 있다.
甲乙つけがたい名演だった。,갑을을 가리기 힘든 명연주였다.
足が速いので、かけっこで一番になりました。,발이 빨라서 달리기에서 1등이 되었습니다.
水曜日はノー残業デーなので、早めに帰宅して映画を見ることにした。,"수요일은 야근 없는 날이라, 일찍 귀가해서 영화를 보기로 했다."
七人の侍という有名な映画がある。,"7인의 사무라이'라는 유명한 영화가 있다."
彼の部屋には古い映画ポスターのコレクションが飾られている。,그의 방에는 오래된 영화 포스터 컬렉션이 걸려 있다.
気分を換えるために、仕事のあと映画を見に行った。,기분 전환을 위해 퇴근 후에 영화를 보러 갔다.
彼は初めて生の交響楽を聴いて感動のあまり涙を流した。,그는 처음으로 생(라이브) 교향악을 듣고 감동한 나머지 눈물을 흘렸다.
惜しくも敗れたが、選手の健闘を称えたい。,"아쉽게 패했지만, 선수의 선전을 칭찬하고 싶다."
記者が選手にインタビューを行った。,기자가 선수에게 인터뷰를 했다.
彼は今年で現役を引退すると宣言した。,그는 올해를 끝으로 현역에서 은퇴한다고 선언했다.
SF映画のように空間跳躍ができれば、通勤ラッシュともおさらばできるのに。,"SF 영화처럼 공간 도약(워프)을 할 수 있다면, 통근 러시아워와도 작별할 수 있을 텐데."
弟は子どものころから柔道を習っていて、黒帯を持っている。,남동생은 어릴 때부터 유도를 배워서 검은 띠를 가지고 있다.
自転車のサドルが合わず股間が痛くなった。,자전거 안장이 맞지 않아 고간이 아프게 되었다.
試合は乱闘騒ぎが起きる大荒れの展開となった。,경기는 난투극까지 벌어지는 대혼전 양상이 되었다.
勝ちはしたけど、内容にはまだ課題が多い。,이기긴 했지만 내용에는 아직 과제가 많다.
次の試合に全てを賭ける覚悟で、黙々と練習した。,다음 경기에 모든 것을 걸 각오로 묵묵히 연습했다.
彼は古き良きヤマト魂を胸に、世界大会へと挑んだ。,"그는 옛 좋았던 야마토 정신(일본 고유의 정신)을 가슴에 품고, 세계 대회에 도전했다."
最新のスポーツカーは、地面に吸い付くような安定した走りを見せた。,"최신 스포츠카는, 지면에 달라붙는 듯한 안정된 주행을 보여주었다."
完全に守備の裏をかき、フリーの味方にパスを通した！,"완벽하게 수비의 허를 찔러, 노마크인 아군에게 패스를 연결했습니다!"
錬金術の本を読んで、古代の実験器具をスケッチした。,연금술 책을 읽으며 고대 실험 도구를 스케치했다.
江戸では下肥が貴重な資源として取引されていた。,에도에서는 하비(인분 거름)가 귀중한 자원으로 거래되었다.
今シーズンの最高記録を更新する、素晴らしいジャンプです！,"이번 시즌 최고 기록을 경신하는, 훌륭한 점프입니다!"
正確無比なパスが、攻撃の起点となりました。,"정확무비한 패스가, 공격의 기점이 되었습니다."
審判の死角をついた反則行為があった模様です。,심판의 사각을 찌른 반칙 행위가 있었던 모양입니다.
初診の受付は何時までですか。,초진 접수는 몇 시까지입니까.
虫に刺された腕がパンパンに腫れ上がり、痛みと痒みで眠れない。,"벌레에 물린 팔이 빵빵하게 부어올라, 통증과 가려움으로 잠을 잘 수 없다."
ブラウン運動は、流体中の微粒子が媒質分子の衝突によって不規則に動く現象である。,브라운 운동은 유체 속의 미립자가 매질 분자의 충돌에 의해 불규칙하게 움직이는 현상이다.
フーコーの振り子は、地球の自転を視覚的に証明するために考案された巨大な振り子実験だ。,푸코의 진자는 지구의 자전을 시각적으로 증명하기 위해 고안된 거대한 진자 실험이다.
ｐＨ緩衝液を用いることで、酵素反応に最適な酸性度を維持した。,"pH 완충액을 사용함으로써, 효소 반응에 최적화된 산성도를 유지했다."
岡崎フラグメントは、ＤＮＡ複製の際にラギング鎖で形成される。,오카자키 절편은 DNA 복제 시 지연 가닥(lagging strand)에서 형성된다.
サザンブロッティング法は、特定のＤＮＡ配列を検出する技術だ。,서던 블로팅법은 특정 DNA 서열을 검출하는 기술이다.
始まりは、全体の半分である。,시작이 전체의 절반이다. - 아리스토텔레스
乳母は子守唄を口ずさみ、赤子をあやした。,유모가 자장가를 흥얼거리며 아기를 달랬다.
他人と異なる生き方を選ぶ勇気も、ときには必要だ。,타인과 다른 삶의 방식을 선택할 용기도 때로는 필요하다.
古い城下町は文化遺産として保存地区に指定された。,옛 성하 마을은 문화유산으로 보존 구역으로 지정되었다.
どんなに暗くても、星は輝いている。,"아무리 어두워도, 별은 빛나고 있다. - 랄프 왈도 에머슨"
物事を判断するときは主観だけでなく客観的な事実も見るべきだ。,일을 판단할 때는 주관뿐 아니라 객관적인 사실도 봐야 한다.
幼少期の記憶は、セピア色の写真のように美化されていくものだ。,"유년기의 기억은, 세피아 색 사진처럼 미화되어 가는 법이다."
古代の賢人たちの言葉はいまも人生の指針になる。,고대 현인들의 말은 지금도 인생의 지침이 된다.
久遠の真理を追い求めて、彼は一生を哲学の研究に捧げた。,영원한 진리를 좇기 위해 그는 평생을 철학 연구에 바쳤다.
ロックのタブラ・ラサ説は、人間は白紙の状態で生まれ、経験によって知識を得るとする。,로크의 타블라 라사(백지)설은 인간은 백지상태로 태어나 경험을 통해 지식을 얻는다고 한다.
以前から日本の歴史や文化に深い関心があり、いつか訪れたいと思っていました。,"예전부터 일본의 역사와 문화에 깊은 관심이 있어서, 언젠가 방문하고 싶다고 생각했습니다."
発掘現場で新しい遺跡が発見された。,발굴 현장에서 새로운 유적이 발견되었다.
奴隷制度の歴史を知って胸が締め付けられた。,노예 제도의 역사를 알고 가슴이 조여 왔다.
この問題は、少し難しい。,이 문제는 조금 어렵다.
戦場で飛び交う弾の音を、今でも夢に見ることがあるという。,전장에서 날아다니던 탄환 소리를 지금도 꿈에서 볼 때가 있다고 한다.
テセウスの船は、全ての部品が置き換えられた時、それは元の船と同一かという難問だ。,테세우스의 배는 모든 부품이 교체되었을 때 그것은 원래의 배와 동일한가 하는 난문이다.
産業革命は人々の生活様式を一変させた。,산업혁명은 사람들의 생활양식을 완전히 바꿔 놓았다.
敵軍はついに無条件降伏を宣言した。,적군은 마침내 무조건 항복을 선언했다.
その寺は戦火を免れ、多くの文化財を守ってきた。,그 절은 전쟁의 불길을 피하고 많은 문화재를 지켜 왔다.
その国はかつて共産体制のもとにあった。,그 나라는 한때 공산 체제 아래에 있었다.
教科書で明治維新の改革を詳しく読んだ。,교과서에서 메이지 유신의 개혁을 자세히 읽었다.
彼は戦争史の資料を読み漁っている。,그는 전쟁사 자료를 닥치는 대로 읽고 있다.
江戸城の模型を見て城下町の構造を理解した。,에도성 모형을 보고 성하 마을 구조를 이해했다.
独立運動家たちの手紙を読んでその覚悟に打たれた。,독립운동가들의 편지를 읽고 그 각오에 감동했다.
彼は冷戦時代の外交史に詳しい。,그는 냉전 시대의 외교사에 밝다.
その銅像は革命の指導者を記念して建てられた。,그 동상은 혁명 지도자를 기념해 세워졌다.
歴史上の偉人の伝記を読むのが、子どもの頃からの趣味だった。,역사의 위인 전기를 읽는 것이 어릴 때부터의 취미였다.
昔の建物の設計図には、今でも尺貫法の寸法が使われている。,옛 건물의 설계도에는 지금도 척관법 치수가 쓰여 있다.
武家政権の成立は日本の政治構造を大きく変えた。,무가 정권의 성립은 일본의 정치 구조를 크게 바꾸었다.
その遺構からは当時の城壁の規模がうかがえる。,그 유구에서 당시 성벽의 규모를 짐작할 수 있다.
中世の城塞都市は敵の侵入を防ぐために造られた。,중세의 성채 도시는 적의 침입을 막기 위해 지어졌다.
国王に拝謁する光栄を得て、使節団の代表は深々と頭を下げた。,국왕을 배알하는 영광을 얻은 사절단 대표는 깊이 머리를 숙였다.
侍従が式典の進行を静かに支えた。,시종이 식전 진행을 조용히 뒷받침했다.
王への謁見の順番を待つ貴族たちが、静まり返った玉座の間に整列していた。,왕을 알현할 차례를 기다리는 귀족들이 고요한 옥좌의 방에 줄지어 서 있었다.
学者たちは年輪年代法で木材の年代を特定した。,학자들은 연륜 연대법으로 목재의 연대를 특정했다.
平和のシンボルである憲法의理念を、次の世代にどう手渡すかが問われている。,평화의 상징인 헌법의 이념을 다음 세대에 어떻게 넘겨줄지가 과제로 떠올랐다.
東宮の時代から彼は将来の天皇として注目されていた。,동궁 시절부터 그는 장래의 천황으로서 주목받아 왔다.
博物館には古代王の石棺が展示されている。,박물관에는 고대 왕의 석관이 전시되어 있다.
虚無僧が尺八を吹きながら町を歩いていく。,허무승이 샤쿠하치를 불며 마을을 걸어간다.
博物館には、歴史的価値の高い刀剣が数多く展示されている。,박물관에는 역사적 가치가 높은 도검이 다수 전시되어 있다.
これは日本固有の文化だと言われている。,이것은 일본 고유의 문화라고 불린다.
武士は責任を取るため自刃した、という伝承が残る。,무사는 책임을 지기 위해 자결했다는 전승이 남아 있다.
時代小説では、近郷の在郷商人や郷士たちが村を守る姿がよく描かれる。,시대소설에서는 근교의 재향 상인이나 향사가 마을을 지키는 모습이 자주 그려진다.
僧は人々の罪業を説き、悔い改めを促した。,승려는 사람들의 죄업을 설파하며 참회를 권했다.
昔は田畑を耕すのに、牛馬の力が欠かせなかった。,옛날에는 논밭을 갈 때 우마의 힘이 없어서는 안 되었다.
両国の間には今もなお遺恨がくすぶっている。,양국 사이에는 여전히 유감과 앙금이 남아 있다.
絶対君主のもとでは国民の自由は制限されがちだ。,절대 군주 아래에서는 국민의 자유가 제한되기 쉽다.
この本は、字が大きくて易しい。,이 책은 글씨가 커서 쉽다.
紀元前の土器が発掘され、この地域の歴史が書き換えられることになった。,"기원전의 토기가 발굴되어, 이 지역의 역사가 다시 쓰이게 되었다."
時代の節目には、大きな変革と混乱がつきものだ。,"시대의 전환기(매듭)에는, 큰 변혁과 혼란이 따르기 마련이다."
古の都を訪ね、千年前の人々の暮らしに思いを馳せる。,옛 도읍을 방문하여 천 년 전 사람들의 생활을 생각한다.
武士に二言はない、という言葉通り、彼は約束を必ず守る男だ。,"무사에게 식언은 없다, 라는 말대로 그는 약속을 반드시 지키는 남자다."
国を統べる者には、広い視野と決断力が求められる。,"나라를 다스리는 자에게는, 넓은 시야와 결단력이 요구된다."
船山古墳の出土品は、国宝級の価値があると言われる。,후나야마 고분의 출토품은 국보급의 가치가 있다고 전해진다.
四月になると、新しい学年が始まる。,"4월이 되면 새 학년이 시작된다."
その国は重い貢税（租税）を課し、民衆の不満が高まっていた。,그 나라는 무거운 조세를 부과하여 민중의 불만이 높아지고 있었다.
かつてこの地域は、支配者に多くの農作物を貢税として納めていた。,과거 이 지역은 지배자에게 많은 농작물을 조세로 바치고 있었다.
昔、この辺りは一面の田んぼだったが、今では高層マンションが立ち並んでいる。,"옛날에, 이 근처는 온통 논이었지만, 지금은 고층 아파트가 늘어서 있다."
複雑な計算を簡単にするために、対数表を用いた。,복잡한 계산을 간단히 하기 위해 로그 표를 이용했다.
サーカスの見世物小屋には、珍しい動物たちがいた。,서커스의 구경거리 오두막에는 희귀한 동물들이 있었다.
先生が漢字の書き方を教えてくれる。,선생님이 한자 쓰는 법을 가르쳐 주신다.
朝、家を出て学校へ向かう。,아침에 집을 나서 학교로 향한다.
黄色い帽子をかぶって、学校に行く。,노란 모자를 쓰고 학교에 간다.
夏休みの宿題は、計画的に進めよう。,여름방학 숙제는 계획적으로 하자.
机の上を、きれいに片付けよう。,책상 위를 깨끗하게 정리하자.
彼は長年、王に忠実に伺候し、その信頼を一身に受けていた。,그는 오랫동안 왕을 충실히 모시며 그 신뢰를 한 몸에 받고 있었다.
将軍の御前で武術の試合を行い、勝利を収めた。,장군 앞에서 무술 시합을 하여 승리를 거두었다.
彼は敵の戦力を見誤り、無謀な攻撃を仕掛けて敗北した。,"그는 적의 전력을 오판하고, 무모한 공격을 감행해 패배했다."
江戸時代、この地域は有力な大名が治める大きな藩の一部だった。,"에도 시대, 이 지역은 유력한 다이묘가 다스리는 큰 번의 일부였다."
古代遺跡の壁に刻まれたなぞなぞを解読する,고대 유적의 벽에 새겨진 수수께끼를 해독하다
土の中から、江戸時代の古い小判がザクザク出てきた。,흙 속에서 에도 시대의 오래된 금화(고반)가 쏟아져 나왔다.
歴史的な背景を踏まえた上で、この問題を議論する必要があります。,"역사적인 배경을 밟은 위에서, 이 문제를 논의할 필요가 있습니다."
まだまだです。大学で2年間学んだ後、独学で続けています。,"아직 멀었어요. 대학교에서 2년간 배운 뒤, 독학으로 계속하고 있습니다."
先生が生徒を職員室に呼び出した。,선생님이 학생을 교무실로 호출했다.
本を読み終えての感想をレポートにまとめた。,책을 다 읽고 난 감상을 레포트로 정리했다.
彼は大学で物理を専攻している。,그는 대학에서 물리를 전공하고 있다.
試験では教科書の内容から出題される。,시험은 교과서 내용에서 출제된다.
先生が「焦らなくていいですよ」と仰ってくださった。,선생님께서 '서두르지 않아도 돼요'라고 말씀해 주셨다.
彼女は文化祭の実行委員に選ばれて毎日準備に追われている。,그녀는 학교 축제 실행 위원으로 뽑혀 매일 준비에 쫓기고 있다.
本番前に模擬試験を受けておくと安心だ。,본시험 전에 모의시험을 쳐 두면 안심이 된다.
教師は宿題をやってこなかった生徒を職員室に呼び出し、理由を厳しく詰問した。,선생님은 숙제를 해 오지 않은 학생을 교무실로 불러 이유를 호되게 캐물었다.
その問題の答えは教科書の後ろにある。,그 문제의 답은 교과서 뒤에 있다.
大学の大講堂で特別講義が静かに行われた。,대학 대강당에서 특별 강의가 조용히 진행되었다.
彼の努力家ぶりには本当に感心する。,그의 부지런한 모습에는 정말 감탄하게 된다.
貧乏な学生時代を懐かしく思い出す。,가난했던 학생 시절이 그립게 떠오른다.
階段を一段飛ばしで駆け上がり、息を切らして教室に飛び込んだ。,"계단을 한 칸씩 건너뛰며 뛰어 올라가, 숨을 헐떡이며 교실로 뛰어들었다."
苦手な数学を克服し、無事に次の学年へ進級することができた。,"자신 없던 수학을 극복하고, 무사히 다음 학년으로 진급할 수 있었다."
将来の夢について、先生と真剣に話し合った。,장래 희망에 대해 선생님과 진지하게 의논했다.
卒業記念に、名入りの万年筆を恩師からプレゼントされた。,졸업 기념으로 이름이 새겨진 만년필을 은사님께 선물 받았다.
先生がチョークで黒板に数式を書き、生徒たちが書き写す。,"선생님이 분필로 칠판에 수식을 쓰고, 학생들이 받아 적는다."
彼は医大合格を目指し、毎日深夜まで猛勉強している。,그는 의대 합격을 목표로 매일 심야까지 맹공부하고 있다.
教育には寛厳のバランスが大切だとよく言われる。,교육에서는 관대함과 엄격함의 균형이 중요하다고 자주 말한다.
すべての学問には共通する基がある。,모든 학문에는 공통된 바탕이 있다.
彼の思想は「自由」を何より重んじる。,그의 사상은 ‘자유’를 무엇보다 중시한다.
家政学の授業で栄養の計算をした。,가정과 수업에서 영양 계산을 했다.
専門書籍を探しに、大きな書店へ行った。,전문 서적을 찾으러 큰 서점에 갔다.
進学か就職か、難しい選択を迫られた。,"진학이냐 취업이냐, 어려운 선택을 요구받았다."
彼は数学が得意だ。,그는 수학을 잘한다.
彼女は長年の夢だった留学をついに果たした。,그녀는 오랜 꿈이었던 유학을 마침내 이루었다.
